tot_emd,to_ga_001,to_ga_002,ga_sd_001,ga_sd_002,ga_sd_003,ga_sd_004,ga_sd_005,ga_sd_006,ga_sd_999
31014600,16514,2.32,2156,6643,309,0,6948,291,0
31014620,19397,2.61,2453,9510,641,0,6239,337,0
31014630,10225,2.56,1689,5454,447,0,2472,63,0
31014640,11882,2.91,1842,7815,337,0,1653,45,0
31014650,12237,2.06,1534,4524,157,0,5589,317,0
31014660,12036,2.54,1346,6433,316,0,3634,167,0
31014670,10167,2.95,1406,6659,408,0,1458,92,0
31014680,8945,2.95,1321,6049,231,0,1114,67,0
31021510,6722,1.89,838,2167,197,0,3392,64,0
31021520,3330,2.79,602,1855,225,0,594,23,0
31021530,5293,1.93,666,1800,164,0,2569,57,0
31021540,7691,1.94,1168,2505,229,0,3648,64,0
31021550,6929,2.21,1060,2933,273,0,2563,27,0
31021560,6051,2.13,884,2448,209,0,2433,13,0
31021570,5681,2.3,819,2531,271,0,1985,24,0
31021580,6210,1.89,960,2011,201,0,2931,34,0
31021590,6892,2.27,1123,2901,299,0,2447,57,0
31021600,6012,2.53,1018,3106,333,0,1440,63,0
31021610,5553,2.25,846,2466,188,0,1983,11,0
31021620,3925,2.56,577,1933,197,0,1149,24,0
31021640,1614,2.67,285,839,91,0,368,18,0
31021650,2349,2.03,469,772,57,0,1012,19,0
31021660,1286,2.35,300,509,69,0,369,33,0
31021670,7187,1.77,921,1585,36,0,4452,131,0
31021680,16230,2.6,2912,8876,647,0,3517,109,0
31022510,15199,2.04,2091,5363,509,0,6799,339,0
31022530,2875,2.33,498,1300,98,0,912,34,0
31022540,10525,2.31,1585,4641,411,0,3663,122,0
31022550,4085,2.56,652,2176,173,0,986,65,0
31022560,9951,2.39,1684,4843,446,0,2761,140,0
31022570,10864,2.34,1815,4965,403,0,3403,176,0
31022580,6310,2.13,950,2609,238,0,2438,11,0
31022590,5769,2.12,813,2306,221,0,2338,31,0
31022600,7455,2.72,1314,4154,447,0,1403,55,0
31022610,9946,2.64,1566,5447,486,0,2308,41,0
31022620,5899,2.2,915,2396,239,0,2232,56,0
31023510,9518,2.57,1583,5026,370,0,2399,17,0
31023520,4881,2.68,538,2813,222,0,1243,27,0
31023530,6946,2.36,1064,3087,267,0,2266,214,0
31023540,3026,3.21,411,2233,200,0,161,0,0
31023550,7105,2.12,1247,2905,161,0,2566,167,0
31023560,5575,2.6,996,3059,188,0,1217,58,0
31023580,11264,2.6,1685,5923,507,0,2861,209,0
31023590,6195,2.8,981,3752,294,0,1088,17,0
31023600,8343,2.89,1530,5199,451,0,1058,41,0
31023610,4137,3.08,763,2698,336,0,292,11,0
31023620,6906,2.4,1257,3066,280,0,2132,115,0
31023630,11881,2.41,1999,5570,380,0,3656,118,0
31023640,5529,2.8,1083,3107,358,0,868,59,0
31023670,12114,2.42,2335,5698,476,0,3308,193,0
31023680,6968,2.78,1371,4024,375,0,1092,11,0
31023710,11051,2.41,2157,5191,366,0,2989,246,0
31023720,6563,2.52,1148,3372,228,0,1623,131,0
31023740,8516,2.74,1267,5136,423,0,1579,19,0
31023750,7139,3.03,1132,4653,500,0,762,0,0
31023760,9824,2.74,1483,5781,431,0,1969,59,0
31023770,12437,2.21,2119,4847,399,0,4588,405,0
31023780,7662,2.42,1327,3699,276,0,2204,67,0
31030520,13948,2.13,2232,5560,449,0,5299,324,0
31030550,13483,2.57,2858,6649,726,0,2988,165,0
31030560,7366,2.49,1288,3719,354,0,1871,53,0
31030570,16128,2.63,2986,8949,770,0,3159,101,0
31030580,15619,2.7,2779,8854,876,0,2874,112,0
31030590,10428,2.62,1899,5422,558,0,2350,99,0
31030600,10410,2.56,1801,5395,498,0,2520,75,0
31030640,8641,2.53,1543,4218,422,0,2306,61,0
31030650,12288,2.75,2472,6984,799,0,1909,21,0
31030670,8021,2.26,1281,3430,362,0,2810,64,0
31030680,10909,2.28,1847,4806,439,0,3616,91,0
31030690,14678,1.87,2084,4246,453,0,7423,375,0
31030700,11788,2.75,1847,6918,556,0,2237,81,0
31030710,16333,2.71,2538,9590,614,0,3325,77,0
31041510,6039,2.55,1101,3135,236,0,1455,58,0
31041520,8898,2.28,1548,3843,293,0,2955,172,0
31041530,6626,2.45,1077,3206,288,0,1902,89,0
31041540,3215,2.11,529,1133,131,0,1325,79,0
31041550,5479,2.28,937,2288,277,0,1845,100,0
31041560,8171,2.27,1308,3355,367,0,2909,186,0
31041570,5445,2.82,892,3253,309,0,906,41,0
31041580,4815,2.25,790,2018,167,0,1710,83,0
31041590,6395,2.6,1248,3467,361,0,1228,26,0
31041600,6969,2.84,1539,3833,366,0,1121,50,0
31041610,11710,2.6,2148,6239,604,0,2546,71,0
31041620,5081,2.61,779,2819,249,0,1134,69,0
31041630,6231,2.35,1060,2886,243,0,1906,83,0
31041640,7546,2.92,1312,4783,424,0,922,33,0
31042510,7075,2.92,1330,4486,400,0,793,9,0
31042520,3535,2.99,600,2326,214,0,356,14,0
31042530,8556,2.56,1390,4643,379,0,1962,80,0
31042540,6078,2.76,866,3773,247,0,1109,40,0
31042550,5091,2.09,922,2096,40,0,1880,96,0
31042560,14276,2.45,2349,7231,632,0,3806,154,0
31042570,7767,2.32,1348,3508,213,0,2489,139,0
31042580,11234,2.3,2056,5154,218,0,3414,306,0
31042590,4904,2.98,789,3320,228,0,505,5,0
31042600,7778,2.94,1071,5405,243,0,913,52,0
31042610,4894,3.22,552,3602,313,0,358,6,0
31042620,2937,2.58,548,1514,87,0,728,26,0
31042630,8568,2.7,1439,4927,440,0,1606,84,0
31042640,7429,2.83,1221,4429,428,0,1249,47,0
31042650,5146,2.82,806,3120,277,0,834,43,0
31042660,4204,2.95,689,2857,165,0,443,6,0
31042670,3603,2.89,600,2114,264,0,563,33,0
31050870,29029,2.12,4456,10893,926,0,11827,708,0
31050880,35458,2.48,5996,17845,1462,0,9482,327,0
31050890,15553,2.54,2319,8110,729,0,4137,91,0
31050900,48719,2.54,7873,25531,1877,0,12308,700,0
31050910,29026,2.87,4493,18587,1242,0,4157,210,0
31050920,32467,2.41,5643,15854,1327,0,8974,394,0
31050930,21465,2.53,3962,11200,942,0,5003,184,0
31050940,34667,2.65,5857,19490,1402,0,7336,217,0
31050950,32731,2.48,5505,16873,1295,0,8318,431,0
31050960,32795,2.5,5249,16987,1377,0,8476,373,0
31060510,2999,2.36,503,1449,115,0,859,31,0
31060520,3907,2.28,688,1735,160,0,1210,95,0
31060530,4242,2.16,778,1733,158,0,1474,71,0
31060540,5576,2.36,1077,2621,232,0,1502,102,0
31060550,5526,2.52,968,2911,268,0,1285,57,0
31060560,3978,2.78,670,2308,257,0,695,12,0
31060570,6019,2.74,1137,3309,387,0,1097,32,0
31060580,4237,2.9,722,2729,223,0,513,6,0
31060590,5941,2.19,940,2500,151,0,2210,62,0
31060600,10525,2.97,1755,6872,558,0,1172,47,0
31060610,5074,2.53,923,2686,188,0,1157,69,0
31060620,9068,2.77,1444,5394,418,0,1666,27,0
31060630,6113,2.25,1160,2845,83,0,1841,108,0
31060640,8429,2.38,1389,4273,222,0,2345,91,0
31060650,4737,2.75,824,2723,88,0,987,30,0
31060660,10875,2.81,1662,6536,570,0,1931,82,0
31060670,17313,2.56,2860,8987,676,0,4428,178,0
31060680,855,2.34,233,288,60,0,249,19,0
31070110,11603,2.09,2183,3870,472,0,4688,348,0
31070120,11343,2.71,1655,6656,374,0,2417,117,0
31070121,4768,2.29,959,1580,217,0,1839,154,0
31070130,5334,1.83,663,1443,99,0,2805,299,0
31070131,5604,2.18,978,2070,197,0,2166,156,0
31070140,4336,2.73,660,2369,169,0,1046,23,0
31070141,4513,2.72,779,2434,197,0,1010,44,0
31070310,4488,2.56,904,1727,225,0,1465,130,0
31070320,1495,2.2,385,500,92,0,466,47,0
31070330,5086,2.49,932,2257,266,0,1509,72,0
31070340,2632,2.36,597,1048,178,0,735,47,0
31070370,2202,2.26,617,749,126,0,653,45,0
31070510,17185,2.43,2586,8235,635,0,5225,359,0
31070520,11059,2.25,1707,4803,434,0,3720,339,0
31070530,6001,2.84,1089,3094,195,0,1425,127,0
31070550,5546,2.01,746,1873,150,0,2517,236,0
31070560,8137,2.52,1306,4135,420,0,2051,157,0
31070570,2656,2.05,417,923,102,0,1087,125,0
31070580,2456,1.94,411,746,104,0,1083,106,0
31070590,10125,2.08,1583,3603,317,0,4221,335,0
31070600,4795,2.11,846,1741,186,0,1845,144,0
31070610,1961,1.89,361,574,54,0,877,84,0
31070620,27515,2.48,4148,13967,881,0,7758,504,0
31070640,9660,2.57,1697,5096,441,0,2181,173,0
31070650,18105,2.68,3215,10242,647,0,3647,127,0
31070660,9392,2.53,1197,4666,324,0,2947,177,0
31080510,2859,2.24,575,1140,135,0,917,77,0
31080520,4462,2.41,861,2047,281,0,1172,68,0
31080530,2332,2,392,680,103,0,1068,88,0
31080550,1295,2.01,227,442,49,0,526,43,0
31080560,10727,2.57,1967,5072,516,0,2940,134,0
31080580,3511,2.42,811,1267,162,0,1154,91,0
31080600,2161,2.19,479,728,99,0,766,82,0
31080610,9950,2.49,1744,4882,441,0,2662,132,0
31091510,10448,2.42,1429,5015,430,0,3369,103,0
31091540,16166,2.35,2103,7689,517,0,5547,110,0
31091550,10418,2.53,1476,5582,427,0,2743,76,0
31091560,8452,2.33,1263,3953,280,0,2732,152,0
31091570,8629,2.48,1208,4474,408,0,2393,46,0
31091580,13855,2.49,1921,7291,504,0,3918,68,0
31091581,1542,2.38,196,792,42,0,488,5,0
31091620,9154,2.87,1606,5877,369,0,1174,14,0
31091710,7018,2.52,1547,3501,310,0,1522,72,0
31091730,3566,2.46,718,1712,166,0,882,45,0
31091740,12116,2,1582,4039,261,0,5772,382,0
